True Draft Value,Predicted Draft Value,True Draft Position,Predicted Draft Position
590.0,14.543643,32.0,192.0
12.2,14.536826,198.0,192.0
265.0,14.540671,65.0,192.0
9.8,14.53371,204.0,192.0
58.0,14.539938,118.0,192.0
23.0,14.543806,171.0,192.0
0.0,14.544099,300.0,192.0
0.0,14.538325,300.0,192.0
420.0,14.5435915,48.0,192.0
21.4,14.541263,175.0,192.0
740.0,14.542293,24.0,192.0
530.0,14.542883,37.0,192.0
48.0,14.540097,124.0,192.0
32.3,14.501892,148.0,192.0
8.6,14.541919,207.0,192.0
0.0,14.543996,300.0,192.0
700.0,14.542467,26.0,192.0
0.0,14.523444,300.0,192.0
170.0,14.542815,84.0,192.0
15.0,14.5253315,191.0,192.0
2.0,14.543221,224.0,192.0
36.5,14.541166,139.0,192.0
550.0,14.542212,35.0,192.0
1050.0,14.535598,15.0,192.0
124.0,14.541015,94.0,192.0
640.0,14.544101,29.0,192.0
7.4,14.543036,210.0,192.0
32.3,14.543756,148.0,192.0
0.0,14.5434065,300.0,192.0
360.0,14.541548,54.0,192.0
82.0,14.543301,106.0,192.0
800.0,14.542949,21.0,192.0
26.6,14.541811,162.0,192.0
120.0,14.542198,95.0,192.0
124.0,14.543321,94.0,192.0
0.0,14.542802,300.0,192.0
350.0,14.539891,55.0,192.0
27.4,14.535027,160.0,192.0
37.0,14.531336,138.0,192.0
17.0,14.527699,186.0,192.0
32.6,14.542491,147.0,192.0
48.0,14.541895,124.0,192.0
0.0,14.536009,300.0,192.0
265.0,14.542123,65.0,192.0
0.0,14.536806,300.0,192.0
230.0,14.541478,72.0,192.0
18.6,14.541809,182.0,192.0
10.2,14.542114,203.0,192.0
27.4,14.544505,160.0,192.0
2200.0,14.542939,3.0,192.0
6.6,14.540866,212.0,192.0
0.0,14.5413065,300.0,192.0
68.0,14.538693,113.0,192.0
19.4,14.537805,180.0,192.0
255.0,14.541059,67.0,192.0
38.5,14.538333,135.0,192.0
235.0,14.542615,71.0,192.0
12.2,14.5302515,198.0,192.0
0.0,14.544918,300.0,192.0
38.5,14.54322,135.0,192.0
49.0,14.540528,123.0,192.0
0.0,14.541158,300.0,192.0
0.0,14.438389,300.0,192.0
0.0,14.5404,300.0,192.0
48.0,14.544138,124.0,192.0
360.0,14.542014,54.0,192.0
13.8,14.541064,194.0,192.0
140.0,14.542078,90.0,192.0
292.0,14.54498,61.0,192.0
540.0,14.541211,36.0,192.0
76.0,14.5418215,109.0,192.0
11.8,14.542787,199.0,192.0
9.0,14.544017,206.0,192.0
29.4,14.5437355,155.0,192.0
180.0,14.538857,82.0,192.0
96.0,14.539101,101.0,192.0
520.0,14.54289,38.0,192.0
0.0,14.541057,300.0,192.0
44.0,14.543554,128.0,192.0
34.0,14.542268,144.0,192.0
17.0,14.53784,186.0,192.0
62.0,14.541199,116.0,192.0
400.0,14.542234,50.0,192.0
390.0,14.543469,51.0,192.0
64.0,14.540515,115.0,192.0
200.0,14.543496,78.0,192.0
38.5,14.540328,135.0,192.0
11.0,14.5421,201.0,192.0
80.0,14.542993,107.0,192.0
245.0,14.540006,69.0,192.0
36.0,14.541696,140.0,192.0
0.0,14.532733,300.0,192.0
72.0,14.540641,111.0,192.0
580.0,14.540898,33.0,192.0
37.0,14.531891,138.0,192.0
225.0,14.54378,73.0,192.0
1700.0,14.543637,5.0,192.0
760.0,14.54242,23.0,192.0
23.8,14.543054,169.0,192.0
34.5,14.539812,143.0,192.0
62.0,14.543024,116.0,192.0
0.0,14.541934,300.0,192.0
1700.0,14.5404625,5.0,192.0
23.4,14.522178,170.0,192.0
0.0,14.53412,300.0,192.0
1200.0,14.541231,12.0,192.0
2200.0,14.541445,3.0,192.0
7.4,14.523255,210.0,192.0
10.6,14.5437565,202.0,192.0
